movie_id,collection_id
710,645
9273,3167
8012,91698
9598,9435
9312,9818
10530,136214
10634,43563
755,10924
9102,122017
9737,14890
414,120794
5894,439053
8839,8819
8068,9649
1572,1570
9070,286162
1642,328073
11980,9068
10802,247294
10149,439053
9348,9887
3512,112399
50797,23170
76,123800
2292,182813
8467,96665
628,217704
11,10
22586,144200
11395,53159
193,115570
3049,3167
9331,192492
9495,9436
888,351684
8587,94032
11596,8581
854,43072
36593,37139
1637,43064
8831,170452
11667,261203
8011,8050
1634,9328
5503,134011
2019,412680
9255,52988
329,328
11231,8580
5550,5547
8850,105075
78,422837
771,9888
812,86027
280,528
268,120794
274,9743
10020,153010
8766,8917
954,87359
8840,169452
10547,116661
627,424202
602,304378
9327,86028
10546,9436
10061,115838
238,230
11134,269098
10987,91361
62,4438
3529,47814
10331,261590
11224,55419
10948,100970
562,1570
10163,124935
88,86058
8491,118221
402,86336
1103,115838
11298,174218
1891,10
85,84
679,8091
429,48317
1892,10
348,8091
539,119674
525,112636
240,230
9277,330605
218,528
829,359005
765,1960
105,264
8009,8050
756,55427
89,84
8077,8091
9529,98580
7340,257053
377,8581
794,10919
199,115570
9279,307637
11674,124916
1573,1570
152,151
174,151
172,151
154,151
157,151
168,151
364,120794
11967,9329
621,86083
9037,86083
8845,112399
578,2366
579,2366
17692,2366
4232,2602
34314,166379
11419,108693
10003,86224
6499,286162
9360,105995
816,1006
330,328
1639,43064
415,120794
607,86055
9387,43055
20737,97445
4961,10721
1669,192492
9437,142680
10351,135489
3597,3601
1281,103372
563,10522
9823,9818
8078,8091
9714,9888
4233,2602
714,645
9922,351886
11808,134011
617,33059
10216,9887
10674,87236
846,19387
3050,3169
944,945
1051,155474
1366,1575
10014,8581
10072,8581
10131,8581
10160,8581
11284,8581
4488,9735
9725,9735
9728,9735
9730,9735
9731,9735
10225,9735
10281,9735
10283,9735
948,91361
11281,91361
10676,91361
11357,91361
11361,91361
36599,123255
10585,10455
11186,10455
11187,10455
609,10453
11133,10453
10306,10453
9552,12263
11586,12263
941,945
942,945
943,945
927,89151
928,89151
9342,1657
165,264
196,264
551,372257
3170,87250
242,230
11158,72119
9354,72119
9325,97459
10144,33085
10414,10709
12230,100693
10693,55422
11319,57971
2619,248126
97,63043
11675,91361
87,84
123,141290
10823,115225
11497,140910
2907,11716
11704,141292
4978,8783
8393,87805
805,264338
34584,91430
34636,91430
36647,735
431,432
2109,90863
9877,52760
1091,479888
